DateTime,Numero di insetti_Cicalino,Media Temperatura_Cicalino,Media Umidità_Cicalino
2024-07-05,0.0,25.77777777777778,56.67444444444445
2024-07-06,0.0,22.3425,72.2475
2024-07-07,0.0,23.517916666666665,76.72875
2024-07-08,0.0,25.669166666666666,69.14375
2024-07-09,0.0,25.87,53.647083333333335
2024-07-10,0.0,26.41,58.94375
2024-07-11,0.0,26.214510869565217,55.223994565217396
2024-07-12,0.0,26.363750000000003,57.50958333333334
2024-07-13,0.0,25.699791666666663,68.38958333333333
2024-07-14,1.0,26.193749999999998,68.048125
2024-07-15,0.0,27.143541666666664,56.963750000000005
2024-07-16,1.0,26.46541666666667,56.07458333333334
2024-07-17,1.0,27.547083333333337,55.394999999999996
2024-07-18,0.0,26.95583333333333,52.736875
2024-07-19,1.0,27.801875000000003,54.519999999999996
2024-07-20,1.0,26.823541666666664,63.676874999999995
2024-07-21,1.0,26.830000000000002,66.85645833333334
2024-07-22,1.0,25.368958333333335,71.59666666666666
2024-07-23,0.0,27.015833333333333,65.69020833333333
2024-07-24,1.0,27.998333333333335,62.036875
2024-07-25,2.0,28.505625000000002,58.34833333333333
2024-07-26,0.0,27.716458333333335,65.43062499999999
2024-07-27,0.0,27.507708333333333,63.42333333333334
2024-07-28,2.0,27.362291666666664,57.74583333333333
2024-07-29,0.0,28.636041666666667,51.788333333333334
2024-07-30,0.0,30.594166666666666,45.54416666666666
2024-07-31,0.0,29.829583333333332,51.924166666666665
2024-08-01,0.0,28.160416666666666,53.06604166666666
2024-08-02,0.0,27.768541666666664,68.94479166666667
2024-08-03,0.0,27.308124999999997,73.07979166666667
2024-08-04,0.0,27.26979166666667,65.01479166666667
2024-08-05,0.0,28.410833333333336,56.91916666666667
2024-08-06,1.0,27.470625,64.72854166666667
2024-08-07,0.0,27.021250000000002,63.87041666666667
2024-08-08,0.0,26.98625,62.64125
2024-08-09,0.0,28.176041666666663,63.15270833333334
2024-08-10,0.0,29.905625,50.72354166666666
2024-08-11,0.0,30.00875,56.28833333333333
2024-08-12,0.0,30.04458333333333,52.561458333333334
2024-08-13,0.0,29.181666666666665,49.475
2024-08-14,0.0,28.171041666666664,63.26583333333333
2024-08-15,0.0,26.14604166666667,64.67458333333333
2024-08-16,0.0,27.569375,61.19020833333333
2024-08-17,0.0,27.4425,63.226458333333326
2024-08-18,0.0,23.558124999999997,81.6125
2024-08-19,0.0,23.147291666666664,75.21520833333334
2024-08-20,0.0,24.373541666666668,72.15104166666667
2024-08-21,0.0,26.210625,69.40166666666667
2024-08-22,0.0,26.880833333333335,64.013125
2024-08-23,1.0,19.675714285714285,88.74285714285713
